구분,과목코드,분반,과목명,시수,부문,강의실
기초교양,12200001,33,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"수7,8(인1호관 104)"
기초교양,12200001,34,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"수5,6(인1호관 104)"
기초교양,12200001,35,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"금3,4(60주년기념관 208)"
기초교양,12200001,36,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"금3,4(60주년기념관 209)"
기초교양,12200001,37,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"금1,2(60주년기념관 208)"
기초교양,12200001,38,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"금1,2(60주년기념관 209)"
기초교양,12200001,39,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"금3,4(60주년기념관 502)"
기초교양,12200001,40,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"금3,4(60주년기념관 503)"
기초교양,12200001,41,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"수5,6(60주년기념관 313)"
기초교양,12200001,42,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"수5,6(60주년기념관 314)"
기초교양,12200001,43,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"수5,6(60주년기념관 402)"
기초교양,12200001,44,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"수1,2(60주년기념관 402)"
기초교양,12200001,45,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"수1,2(60주년기념관 312)"
기초교양,12200001,46,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"화6,7(60주년기념관 314)"
기초교양,12200001,47,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"화6,7(60주년기념관 315)"
기초교양,12200001,48,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"화8,9(60주년기념관 312)"
기초교양,12200001,49,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"화8,9(60주년기념관 402)"
기초교양,12200001,50,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"화8,9(60주년기념관 315)"
기초교양,12200001,51,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"화1,2(60주년기념관 315)"
기초교양,12200001,52,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"화3,4(60주년기념관 315)"
기초교양,12200002,1,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"화1,2(60주년기념관 402)"
기초교양,12200002,2,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"화1,2(60주년기념관 313)"
기초교양,12200002,3,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"화1,2(60주년기념관 314)"
기초교양,12200002,4,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수,3,4(60주년기념관 314)"
기초교양,12200002,5,기본영어(듣기말하기),2-2-0-0,글로벌의사소통,"수3,4(60주년기념관 315)"
